Test Run,Status,Time (s),Path Length (m),Safety Violations
1,SUCCESS,25.52,19.22,0
2,SUCCESS,24.26,19.24,0
3,SUCCESS,32.31,19.90,0
4,SUCCESS,36.26,22.29,1
5,SUCCESS,25.22,19.12,0
6,SUCCESS,25.32,19.35,0
7,SUCCESS,45.43,27.38,1
8,SUCCESS,25.85,19.37,0
9,SUCCESS,25.83,19.15,0
10,SUCCESS,25.08,19.03,0
